threshold,clinical_regime,precision,recall,specificity,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives
0.3,High-Sensitivity Screening,0.7944,0.9043,0.766,0.8458,0.8351,850,220,90,720
0.35,High-Sensitivity Screening,0.8118,0.8947,0.7926,0.8512,0.8436,841,195,99,745
0.4,High-Sensitivity Screening,0.8263,0.8809,0.8149,0.8527,0.8479,828,174,112,766
0.45,Balanced Prioritization,0.8383,0.866,0.833,0.8519,0.8495,814,157,126,783
0.5,Balanced Prioritization (Default),0.8527,0.8436,0.8543,0.8481,0.8489,793,137,147,803
0.55,Balanced Prioritization,0.865,0.8181,0.8723,0.8409,0.8452,769,120,171,820
0.6,High-Confidence Validation,0.8753,0.7989,0.8862,0.8354,0.8426,751,107,189,833
0.65,High-Confidence Validation,0.8877,0.7734,0.9021,0.8266,0.8378,727,92,213,848
0.7,High-Confidence Validation,0.9075,0.7511,0.9234,0.8219,0.8372,706,72,234,868
