Model,AUC_ROC_Mean_Std,AUC_ROC_95CI,Accuracy_Mean_Std,Accuracy_95CI,Precision_Mean_Std,Precision_95CI,Recall_Mean_Std,Recall_95CI,F1_Score_Mean_Std,F1_Score_95CI
Common Neighbors,58.69% ± 0.00%,"[57.12%, 60.28%]",50.27% ± 0.00%,"[48.03%, 52.50%]",100.00% ± 0.00%,"[100.00%, 100.00%]",0.53% ± 0.00%,"[0.11%, 1.06%]",1.06% ± 0.00%,"[0.21%, 2.10%]"
MLP,88.44% ± 0.22%,"[86.90%, 89.80%]",80.52% ± 0.76%,"[77.82%, 81.38%]",79.54% ± 0.88%,"[76.30%, 81.52%]",82.19% ± 1.20%,"[78.17%, 83.03%]",80.84% ± 0.77%,"[77.73%, 81.64%]"
GCN,91.03% ± 0.35%,"[89.85%, 92.63%]",84.11% ± 0.77%,"[82.29%, 85.59%]",81.47% ± 0.88%,"[78.96%, 83.73%]",88.30% ± 0.69%,"[85.89%, 89.97%]",84.75% ± 0.72%,"[82.83%, 86.27%]"
GAT,92.43% ± 0.24%,"[91.33%, 93.75%]",85.73% ± 0.38%,"[84.31%, 87.39%]",82.98% ± 0.56%,"[80.80%, 85.14%]",89.91% ± 0.50%,"[88.18%, 91.96%]",86.31% ± 0.34%,"[84.74%, 88.01%]"
RGCN,93.32% ± 0.72%,"[91.93%, 94.04%]",85.50% ± 0.76%,"[83.19%, 86.22%]",86.21% ± 1.46%,"[82.84%, 87.44%]",84.55% ± 0.47%,"[81.63%, 86.29%]",85.37% ± 0.64%,"[82.86%, 86.20%]"
GraphSAGE,92.63% ± 0.41%,"[91.79%, 94.18%]",85.20% ± 0.93%,"[84.47%, 87.55%]",85.23% ± 0.43%,"[82.60%, 87.25%]",85.17% ± 2.10%,"[85.38%, 89.51%]",85.19% ± 1.10%,"[84.52%, 87.84%]"
